unidade;ano;mes;grupo;subgrupo;exames
CSSFE;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1082
CSSFE;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;33
CSSFE;2024;2;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;25
CSSFE;2024;3;Procedimentos com finalidade diagnóstica;Coleta de material;1
CSSFE;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3404
CSSFE;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;34
CSSFE;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;729
CSSFE;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;106
CSSFE;2024;3;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;22
CSSFE;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3683
CSSFE;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;42
CSSFE;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;696
CSSFE;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;86
CSSFE;2024;4;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;16
CSSFE;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;4335
CSSFE;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;21
CSSFE;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;946
CSSFE;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;22
CSSFE;2024;5;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;8
CSSFE;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3295
CSSFE;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;25
CSSFE;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;839
CSSFE;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;14
CSSFE;2024;6;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;23
CSSFE;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2973
CSSFE;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;30
CSSFE;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;757
CSSFE;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;10
CSSFE;2024;7;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;21
CSSFE;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2482
CSSFE;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;33
CSSFE;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1142
CSSFE;2024;8;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;34
CSSFE;2024;8;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;1
CSSFE;2024;9;Procedimentos com finalidade diagnóstica;Coleta de material;1
CSSFE;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;2169
CSSFE;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;20
CSSFE;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;705
CSSFE;2024;9;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;29
